,,,,,,,Proposed Azure Consumption,,,,
Application Name,ServerName,Operating System,R-Lane Disposition,Migration Phase,Migration Start,Migration End,2022,2023,2024,2025,2026
Avengers,SRVPWMAPP14,Windows 2012,REPLATFORM,Phase 1,Q3 2022,Q1 2023,"$3,00,000","$6,00,000","$6,50,000","$7,00,000","$7,00,000"
Avengers,SRVPWMDB27,Windows 2012,REPLATFORM,Phase 1,Q3 2022,Q1 2023,,,,,
Avengers,SRVDWMAPP14,Windows 2012,REPLATFORM,Phase 1,Q3 2022,Q1 2023,,,,,
Avengers,SRVTWMDB27,Windows 2012,REPLATFORM,Phase 1,Q3 2022,Q1 2023,,,,,
BreakingBad,SRVDWMDB21,Server 2008 R2,REHOST,Phase 1,Q3 2022,Q1 2023,"$50,000","$90,000","$1,00,000","$1,50,000","$2,00,000"
Dexter,SRVPWMPYR01,Windows Server 2016 STD,REHOST,Phase 1,Q3 2022,Q1 2023,"$2,00,000","$5,00,000","$5,50,000","$6,00,000","$6,50,000"
Dexter,SRVPWMPYR02,Windows Server 2016 STD,REHOST,Phase 1,Q3 2022,Q1 2023,,,,,
Dexter,SRVPWMPYRDB01,Windows Server 2016 STD,REHOST,Phase 1,Q3 2022,Q1 2023,,,,,
Dexter,SRVTWMPYR01,Windows Server 2016 STD,REHOST,Phase 1,Q3 2022,Q1 2023,,,,,
Manifest,SRVPWMAPP43,Windows Server 2016 STD,REARCHITECT,Phase 2,Q2 2023,Q4 2024,,"$1,00,000","$8,00,000","$9,00,000","$9,20,000"
Manifest,SRVPWMAPP44,Windows Server 2016 STD,REARCHITECT,Phase 2,Q2 2023,Q4 2024,,,,,
Manifest,SRVPWMKFDB01,Windows Server 2016 STD,REARCHITECT,Phase 2,Q2 2023,Q4 2024,,,,,
Manifest,SRVPWMKFDB02,Windows Server 2016 STD,REARCHITECT,Phase 2,Q2 2023,Q4 2024,,,,,
Manifest,SRVTWMAPP43,Windows Server 2016 STD,REARCHITECT,Phase 2,Q2 2023,Q4 2024,,,,,
Manifest,SRVTWMKFDB01,Windows Server 2016 STD,REARCHITECT,Phase 2,Q2 2023,Q4 2024,,,,,
MoneyHeist,SRVPWMDOC02,Windows Server 2012 STD,REPLATFORM,Phase 2,Q2 2023,Q4 2024,,"$2,00,000","$5,00,000","$7,00,000","$10,00,000"
MoneyHeist,SRVPWMDOC01,Windows Server 2012 STD,REPLATFORM,Phase 2,Q2 2023,Q4 2024,,,,,
MoneyHeist,SRVPWMDDB01,Windows Server 2012 STD,REPLATFORM,Phase 2,Q2 2023,Q4 2024,,,,,
MoneyHeist,SRVTWMDDB01,Windows Server 2012 STD,REPLATFORM,Phase 2,Q2 2023,Q4 2024,,,,,
MoneyHeist,SRVTWMDOC01,Windows Server 2012 STD,REPLATFORM,Phase 2,Q2 2023,Q4 2024,,,,,
Ozark,SRVPWMAPT01,Windows Server 2016 STD,REARCHITECT,Phase 2,Q2 2023,Q4 2024,,"$3,00,000","$6,00,000","$6,50,000","$7,00,000"
StarWars,SRVPWMDB34,Windows 2012,REHOST,Phase 3,Q1 2025,Q2 2025,,,,"$10,00,000","$13,00,000"
StarWars,SRVPWMBOX08,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBOX01,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBOX02,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBOX03,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBOX04,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBOX05,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBOX06,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBOX07,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBSQ03,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBSQ02,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVPWMBSQ01,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVTWMBOX01,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
StarWars,SRVTWMBSQ01,Windows Server 2016 STD,REHOST,Phase 3,Q1 2025,Q2 2025,,,,,
,,,,,,,"$5,50,000","$17,90,000","$32,00,000","$47,00,000","$54,70,000"
,,,,,,,,,,,"$1,57,10,000"
